,author,published_at,updated_at,like_count,text
1393,@ProfEngywook,2023-06-22T16:43:34Z,2023-06-22T16:43:34Z,1,Looks pretty cheap and poorly made.
1394,@gilbpaul,2023-06-22T16:36:04Z,2023-06-22T16:36:04Z,0,Looks like this version will have a lot of anti China propaganda...🤔
1395,@RedZenox,2023-06-22T16:35:35Z,2023-06-22T16:35:35Z,0,David Benioff and D. B. Weiss will probably make a master piece! Then choke the last few seasons as usual...
1396,@MeADow0201,2023-06-22T16:35:26Z,2023-06-22T16:35:26Z,1,Ohh i thought it is the same one that was shown earlier this year😂 somehow it feels different already. Hopefully this is also good
1397,@noya3301,2023-06-22T16:20:23Z,2023-06-22T16:20:23Z,1,Am I the only one that thought that it was going to be a movie about the physics three body problem?
1398,@luci4087,2023-06-22T16:10:49Z,2023-06-22T16:10:49Z,0,is this based off the same book that the cdrama “three-body” is based off of also?
1399,@anergyboy2192,2023-06-22T15:59:53Z,2023-06-22T15:59:53Z,0,"""from the creators of Game of Thrones""<br><br>Nice try, but we haven't forgotten what you've done."
1400,@pashadcerim,2023-06-22T15:59:23Z,2023-06-22T15:59:23Z,0,The creators of GOT <br>ohh shit...<br>The trailer tell us that they gonna f... another novel
1401,@LiosDenali,2023-06-22T15:57:53Z,2023-06-22T15:57:53Z,1,"At least we're sure season eight won't be complete shit, as Netflix never approves for season two."
1402,@robotmuseum,2023-06-22T15:52:13Z,2023-06-22T15:52:13Z,0,"I'm excited for this, mainly because the images in the trailer are the images I had in my mind when I was reading the book. This book made me read up on math which is a monumental achievement to get a Chinese guy who hates math to like math."
1403,@drinkingrobot2252,2023-06-22T15:50:52Z,2023-06-22T15:50:52Z,0,WAYYY TOO MANY NON-CHINESE PPL IN THIS
1404,@martinturon4799,2023-06-22T15:48:05Z,2023-06-22T15:48:05Z,0,"I've only read the first book, and didn't like it as a whole (maybe it's just not nuanced enough in the English version?) , but there's a lot of hard sci-fi to appreciate. I might watch it simply to see <b>the</b> ship scene - HIGHLY doubt they can pull it off, that was a brilliant moment in the book."
